id,center_x,center_y,radius,crop_path,text,ocr_confidence
51,259,191,54,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_51.png,,0
52,1429,475,80,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_52.png,,0
53,1333,647,70,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_53.png,,0
54,1315,382,81,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_54.png,,0
55,1653,952,46,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_55.png,,0
56,343,449,46,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_56.png,,0
57,1583,953,55,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_57.png,,0
58,1105,641,49,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_58.png,,0
59,375,91,45,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_59.png,,0
60,125,461,45,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_60.png,,0
61,683,815,37,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_61.png,,0
62,1691,575,36,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_62.png,,0
