id,center_x,center_y,radius,text_pixels,fill_ratio,edge_support,crop_path
120,709,109,34,450,0.3134,0.7583,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_120.png
121,985,259,34,47,0.1721,0.7443,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_121.png
122,871,462,34,343,0.2632,0.6834,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_122.png
123,352,458,34,289,0.1707,0.3838,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_123.png
124,1308,436,34,36,0.1473,0.4494,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_124.png
125,354,108,34,73,0.1079,0.3838,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_125.png
126,281,310,34,208,0.1644,0.337,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_126.png
127,1243,384,34,72,0.1071,0.2809,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_127.png
128,855,435,35,416,0.3409,0.7276,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_128.png
129,870,375,35,428,0.3025,0.673,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_129.png
130,1061,778,35,229,0.243,0.7185,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_130.png
131,492,157,35,39,0.1032,0.4957,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_131.png
132,654,459,35,30,0.0876,0.5275,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_132.png
133,867,679,35,103,0.1718,0.3638,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_133.png
134,1157,467,35,142,0.1411,0.3638,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_134.png
135,944,729,35,145,0.1434,0.3001,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_135.png
136,1111,568,37,33,0.2107,0.6366,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_136.png
137,921,212,37,127,0.0909,0.4431,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_137.png
138,1393,937,37,204,0.1574,0.3785,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_138.png
139,921,411,37,142,0.1118,0.5162,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_139.png
140,1516,946,37,288,0.1818,0.4301,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_140.png
141,588,835,37,326,0.1697,0.3914,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_141.png
142,1649,1011,37,162,0.1688,0.4301,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_142.png
143,1172,387,37,150,0.1523,0.271,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_143.png
144,513,835,37,64,0.0939,0.4172,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_144.png
145,1690,950,37,19,0.0716,0.2925,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_145.png
146,1223,577,38,842,0.4484,0.8209,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_146.png
147,845,388,38,479,0.315,0.9298,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_147.png
148,925,968,38,541,0.3467,0.6701,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_148.png
149,869,542,38,127,0.2092,0.6785,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_149.png
150,471,260,38,422,0.2308,0.5068,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_150.png
151,426,280,38,156,0.1852,0.5403,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_151.png
152,1128,996,38,80,0.1065,0.49,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_152.png
153,1059,714,38,106,0.1115,0.5445,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_153.png
154,1267,392,38,267,0.2204,0.4105,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_154.png
155,1286,1118,38,180,0.1413,0.4858,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_155.png
156,82,208,38,256,0.2002,0.4021,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_156.png
157,257,168,38,224,0.1239,0.3141,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_157.png
158,737,462,38,119,0.1391,0.3309,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_158.png
159,1042,1074,38,149,0.1051,0.3853,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_159.png
160,127,459,38,51,0.1087,0.2974,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_160.png
161,1059,660,38,106,0.11,0.4063,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_161.png
162,47,260,38,106,0.1027,0.2597,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_162.png
163,1120,1019,38,36,0.0608,0.2681,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_163.png
164,58,203,38,33,0.0977,0.2806,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_164.png
165,812,640,39,404,0.3083,0.5591,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_165.png
166,1032,777,39,204,0.1505,0.502,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_166.png
167,108,789,39,295,0.19,0.4285,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_167.png
168,706,200,39,58,0.1086,0.3877,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_168.png
169,1108,948,40,703,0.3416,0.7202,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_169.png
170,769,403,40,361,0.2439,0.7321,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_170.png
171,1269,965,40,551,0.271,0.6645,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_171.png
172,877,486,40,247,0.2326,0.6963,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_172.png
173,1295,571,40,24,0.0812,0.6287,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_173.png
174,924,237,40,203,0.1554,0.4934,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_174.png
175,998,732,40,66,0.1146,0.4417,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_175.png
176,756,259,40,144,0.1432,0.4735,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_176.png
177,271,205,40,325,0.2031,0.4655,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_177.png
178,1438,942,40,157,0.1206,0.3501,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_178.png
179,670,525,40,199,0.1367,0.4138,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_179.png
180,809,568,40,128,0.1196,0.3143,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_180.png
181,973,398,40,193,0.1011,0.3541,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_181.png
182,1636,957,40,111,0.1267,0.3661,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_182.png
183,916,329,42,425,0.2348,0.6139,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_183.png
184,1249,1045,42,478,0.2801,0.6631,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_184.png
185,329,260,42,208,0.188,0.557,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_185.png
186,1347,937,42,136,0.1319,0.4699,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_186.png
187,80,791,42,311,0.1927,0.3448,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_187.png
188,740,660,42,205,0.1563,0.4737,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_188.png
189,1208,398,42,387,0.212,0.4396,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_189.png
190,990,203,42,124,0.12,0.413,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_190.png
191,1352,509,42,276,0.1608,0.4434,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_191.png
192,99,258,42,288,0.1927,0.4282,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_192.png
193,346,323,42,158,0.0799,0.2918,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_193.png
194,527,650,42,62,0.0955,0.3221,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_194.png
195,1042,579,42,90,0.0724,0.1933,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_195.png
196,982,714,42,85,0.0711,0.2463,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_196.png
197,1367,651,42,35,0.087,0.2994,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_197.png
198,980,433,43,133,0.1398,0.6736,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_198.png
199,716,386,43,200,0.1739,0.5885,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_199.png
200,809,687,43,495,0.3095,0.5367,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_200.png
201,611,99,43,220,0.1587,0.5367,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_201.png
202,1228,927,43,163,0.1802,0.5478,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_202.png
203,760,99,43,168,0.1398,0.5663,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_203.png
204,573,269,43,511,0.2188,0.5071,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_204.png
205,996,484,43,246,0.1816,0.6144,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_205.png
206,881,729,43,91,0.1654,0.4256,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_206.png
207,919,303,43,229,0.1789,0.5071,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_207.png
208,694,319,43,280,0.1661,0.4886,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_208.png
209,918,729,43,28,0.1109,0.4219,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_209.png
210,1197,1047,43,134,0.1222,0.4775,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_210.png
211,996,411,43,112,0.141,0.4479,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_211.png
212,1231,522,43,158,0.13,0.3923,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_212.png
213,369,361,43,84,0.0971,0.4034,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_213.png
214,1243,458,43,526,0.2605,0.4256,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_214.png
215,1673,1014,43,182,0.1434,0.359,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_215.png
216,214,255,43,199,0.1362,0.3516,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_216.png
217,1224,476,43,47,0.1264,0.3664,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_217.png
218,720,361,43,142,0.1017,0.4405,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_218.png
219,873,706,43,84,0.137,0.4479,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_219.png
220,1149,402,43,272,0.1506,0.3664,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_220.png
